Category,Name,ASIN,Date,Qty,Price($),Link Type,Indirect Sales,Device Type Group
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 19:33,1,18.39,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 18:44,1,18.39,Short Mobile link creation,di,DESKTOP
Home Improvement,addlon LED Outdoor String Lights 48FT with 2W Dimmable Edison Vintage Shatterproof Bulbs and Commercial Grade Weatherproof Strand - ETL Listed Heavy-D,B07QMKZWQF,08/09/2022 18:13,1,31.99,Short Mobile link creation,di,PHONE
Furniture,"nuLOOM Elijah Natural Seagrass Farmhouse Runner Rug, 2' 6"" x 6', Beige",B0768QSFM6,08/09/2022 17:09,1,39,Short Mobile link creation,ndi,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 17:09,1,18.39,Short Mobile link creation,di,PHONE
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,08/09/2022 16:34,1,26.99,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 16:34,1,18.39,Short Mobile link creation,di,PHONE
Luxury Beauty,"Proraso Shaving Soap In A Bowl - Refresh, 5.2 Oz",B00837YY18,08/09/2022 12:29,1,10,Influencer Page,ndi,DESKTOP
Luxury Beauty,"Proraso Shaving Cream for Men, Refreshing and Toning with Menthol and Eucalyptus Oil, 5.2 Ounce",B00837ZOI0,08/09/2022 12:29,1,10,Influencer Page,ndi,DESKTOP
Luxury Beauty,"Proraso Shaving Soap in a Bowl, Sensitive Skin, 5.2 Oz",B001JHEY14,08/09/2022 12:29,1,10,Influencer Page,ndi,DESKTOP
Luxury Beauty,Proraso Professional Shaving Brush,B002D2F5BW,08/09/2022 12:29,1,19,Influencer Page,ndi,DESKTOP
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 12:25,1,18.39,Short Mobile link creation,di,PHONE
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,08/09/2022 12:07,1,26.99,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 12:06,2,18.39,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 12:06,1,18.39,Short Mobile link creation,di,PHONE
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,08/09/2022 12:03,3,26.99,Short Mobile link creation,di,TABLET
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 12:00,1,18.39,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 11:44,1,18.39,Short Mobile link creation,di,PHONE
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,08/09/2022 11:44,1,26.99,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 11:43,1,18.39,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 11:20,1,18.39,Short Mobile link creation,di,PHONE
Home,"DearHouse 5.5Ft Seeded Eucalyptus Garland, Artificial Vines Faux Eucalyptus Leaves Table Garland Artificial Eucalyptus Garland Greenery Wedding Backdr",B07MB3BTMG,08/09/2022 10:24,2,26.99,Short Mobile link creation,di,PHONE
Office & School Supplies,"DiverseBee Bible Highlighters and Pens No Bleed, 8 Pack Assorted Colors Gel Highlighters Set, Bible Markers No Bleed Through, Cute Bible Study Journal",B09N7BX1LP,08/09/2022 10:23,1,9.95,Short Mobile link creation,di,PHONE
Home,Carfar Handicrafts Shabby Chic Country Style Rustic Metal Hanging Giant Cow Bells,B004T9Y7AM,08/09/2022 10:20,1,18.39,Short Mobile link creation,di,PHONE
Home,"Deco 79 Industrial Metal Cylinder Pedestal Table, Set of 4 36"", 32"", 24"", 18""H, Brown",B00KR8TDRG,08/09/2022 09:44,1,216.35,Influencer Page,ndi,PHONE
Toys & Games,"Rainbocorns Big Hair Surprise (Kitten) by ZURU Cuddle Plush Stuffed Animal, 30+ Surprises, Collectible Baby Booboocorns, Hair Accessories, Charm Brace",B084YWMR2N,08/09/2022 09:01,1,19.99,Short Mobile link creation,ndi,PHONE
Grocery & Gourmet Food,"365 by Whole Foods Market, Peaches Yellow Cling Slices Organic, 15 Ounce",B074H737VK,08/09/2022 08:23,1,2.39,Influencer Page,ndi,PHONE
Grocery & Gourmet Food,"SENSIBLE PORTIONS Organic Veggie Ranch Straws, 5 OZ",B07NSSPYT9,08/09/2022 08:23,1,4.45,Influencer Page,ndi,PHONE
Grocery & Gourmet Food,"365 by Whole Foods Market, Oranges Mandarin, 10.5 Ounce",B074H5J9R2,08/09/2022 08:23,1,1.29,Influencer Page,ndi,PHONE
Amazon Fresh Products,"365 by Whole Foods Market, Rice White Thai Jasmine Organic, 20 Ounce",B074H6R3Q4,08/09/2022 08:23,1,3.19,Influencer Page,ndi,PHONE
Amazon Fresh Products,"Mandarins, 3 lbs",B01M2VFYCN,08/09/2022 08:23,1,5.99,Influencer Page,ndi,PHONE
Furniture,"Metal End Table, Round Side Table, Small Nightstand for Bedroom, Accent Coffee Table for Living Room, Plant Stand for Balcony",B0B1H3S2XB,08/09/2022 07:52,1,39.98,Influencer Page,ndi,PHONE
"Patio, Lawn & Garden","Lily's Living Earthy Gray Large Pottery Apple-Shaped Pot, 12.6 Inch Tall",B09Q38PT22,08/09/2022 06:46,2,224.87,Influencer Page,ndi,TABLET
Home Improvement,"3 Cabinet Handles Black Kitchen Cabinet Pulls Black 10 Pack - Peaha PHJ22BK 76mm Cabinet Pulls Matte Black Desk Drawer Handles for Bedroom, Closet, Wa",B076JD1BRL,08/09/2022 05:42,1,23.99,Short Mobile link creation,ndi,PHONE
Home Improvement,Peaha Cabinet Handles Kitchen Drawer Pulls -J22BK256 Kitchen Cabinet Handles Black Drawer Pulls Cabinet Pulls Cabinet Door Pulls Handles for Kitchen C,B07797PB7R,08/09/2022 05:42,1,21.97,Short Mobile link creation,ndi,PHONE
Home Improvement,"Kitch Aroma Black flameless Candles, Battery Operated LED Pillar Candles with Moving Flame Wick with Remote Timer,Pack of 5",B076SQBPF6,07/09/2022 22:23,2,30.9,Influencer Page,ndi,PHONE
Furniture,5 ft Pose-N-Stay Life Size Skeleton Full Body Realistic Human Bones with Posable Joints for Halloween Pose Skeleton Prop Decoration,B075B3CY1K,07/09/2022 22:23,2,69.99,Influencer Page,ndi,PHONE
Home,2 Pack Turkish Throw Blanket Set - Multi Purpose Large Size Indoor Outdoor Blanket - Farmhouse Blanket Cover for Bed and Couch - 100% Cotton 65 x 84 i,B07H9GJGH3,07/09/2022 19:18,1,29.95,Influencer Page,ndi,PHONE
Home Improvement,"JONATHAN Y JYL7437B Pagoda Lantern Dimmable Adjustable Metal LED Pendant Classic Traditional Dining Room Living Room Kitchen Foyer Bedroom Hallway, 16",B07GY6HNQG,07/09/2022 18:13,1,105.99,Influencer Page,ndi,PHONE
Furniture,5 ft Pose-N-Stay Life Size Skeleton Full Body Realistic Human Bones with Posable Joints for Halloween Pose Skeleton Prop Decoration,B075B3CY1K,07/09/2022 17:53,1,69.99,Influencer Page,ndi,PHONE
Clothing & Accessories,EXLURA Womens Square Neck Dress Long Puff Sleeve A-Line Casual Short Mini Dress,B09GM1LYF9,07/09/2022 17:31,1,38.99,Influencer Page,ndi,PHONE
Furniture,"Ropesmart 6-Shelf Hanging Closet Organizer Storage with 2 Drawers & Side Pocket, Two 3-Shelf Separable Hanging Storage Shelves for Closet & RV, Dorm R",B08R8BPN97,07/09/2022 17:31,1,30.59,Influencer Page,ndi,PHONE
Kitchen & Dining,"14 Pack, 6Oz Glass Spice Jars with Bamboo Lids, 14 Glass Food Storage Jars Containers with 14 Airtight Bamboo Lids,200 lables & 1 Funnel High Borosili",B09PFRZ5ZH,07/09/2022 17:23,1,28.99,Influencer Page,ndi,PHONE
Furniture,"Loloi II Layla Collection LAY-03 Olive / Charcoal, Traditional 2'-6"" x 7'-6"" Runner Rug",B07K1JR31S,07/09/2022 16:59,1,48.12,Influencer Page,ndi,DESKTOP
Beauty & Grooming,Got2B Ultra Glued Invincible Styling Gel 2 6oz tubes + 1 Travel 1.25oz tube,B09QRVMW6M,07/09/2022 15:28,1,14.99,Short Mobile link creation,ndi,PHONE
Home Improvement,"Kitch Aroma Black flameless Candles, Battery Operated LED Pillar Candles with Moving Flame Wick with Remote Timer,Pack of 5",B076SQBPF6,07/09/2022 14:56,2,30.9,Influencer Page,ndi,PHONE
Home,"Halloween Decorations - Halloween Party Indoor Outdoor Decor Supplies , 56 PCS Reusable PVC 3D Decorative Scary Bats Wall Stickers Comes with Double S",B08D3X897K,07/09/2022 14:56,1,7.99,Influencer Page,ndi,PHONE
Kitchen & Dining,Lysenn Clear Glass Coffee Mug with Lid - Premium Classical Vertical Stripes Glass Tea Cup - for |Latte|Tea|Chocolate|Juice|Water| - Unleaded - Bamboo ,B088QM5RQY,07/09/2022 14:09,1,13.99,Short Mobile link creation,di,PHONE
Sports & Fitness,"iceROSE 7 Pack High Waisted Capri & Ankle Leggings for Women, Buttery Soft Black Running Yoga Leggings",B09BFPX7XY,07/09/2022 12:33,1,37.99,Influencer Page,ndi,PHONE
Home,"Creative Co-Op Quilted Cotton Chenille Kantha Stitch Pillow, 20"" L x 20"" W x 2"" H, Cream",B09TG76KGN,07/09/2022 09:04,1,25.68,Influencer Page,ndi,DESKTOP
Home,RANDLANTER Outdoor Tablecloth with Zipper & Umbrella Hole Scratch Resistant/Splash Proof /Waterproof Tablecloth for Spring Summer Host Backyard Partie,B09TZR1QRM,07/09/2022 09:04,1,9.34,Influencer Page,ndi,DESKTOP
Business & Industrial Supplies,"[Pack Of 50] Black Disposable Face Mask, 3-Ply Adult Masks, Facial Cover with Elastic Earloops For Home, Office, School, and Outdoors",B09GNXJTKV,07/09/2022 08:46,2,4.99,Influencer Page,ndi,PHONE
Home Improvement,"QOGRISUN 2-Pack Solid Brass Cabinet Knobs, 1-5/16-Inch Diameter, Round Gold Dresser Drawer Pulls Handles, Modern Kitchen Hardware, Brushed Brass Finis",B08R5T8BDZ,06/09/2022 22:34,1,9.99,Influencer Page,ndi,PHONE
Outdoor Recreation,Mountain House Chicken Teriyaki with Rice | Freeze Dried Backpacking & Camping Food | 2 Servings | Gluten-Free,B084P72LJS,06/09/2022 21:04,2,9.99,Influencer Page,ndi,PHONE
Outdoor Recreation,Mountain House Rice & Chicken | Freeze Dried Backpacking & Camping Food |2-Servings | Gluten-Free,B084J57LLX,06/09/2022 21:04,2,9.49,Influencer Page,ndi,PHONE
Health & Household,"Arm & Hammer Baking Soda Fridge-n-Freezer Odor Absorber, Orange 14 oz, Pack of 12",B01GTNVWYY,06/09/2022 18:48,1,17.88,Short Mobile link creation,ndi,PHONE
Jewelry,"JINHUI Green Emerald Birthstone Bracelet for Women, Back to School Gift for Her, Dainty Friendship Bangle Bracelet Birthday Gift 6.7”",B07Q5M8KVC,06/09/2022 18:18,1,21.59,Influencer Page,ndi,PHONE
Kitchen & Dining,"SWOMMOLY 48 Glass Spice Jars with 703 Spice Labels, Chalk Marker and Funnel Complete Set. 48 Square Glass Jars 4OZ, Airtight Cap, Pour/sift Shaker Lid",B07VY3GFKB,06/09/2022 18:11,1,31.99,Influencer Page,ndi,PHONE
Grocery & Gourmet Food,Airheads Xtremes Sour Rainbow Berry Chewy Candy Pieces Log Fruit Chew 6 Oz - 0073390009131,B01N5TX5HU,06/09/2022 15:07,1,6.96,Influencer Page,ndi,PHONE
Home,"Wood Chain Link Decor | Hand Boho Carved Decor for Table , Shelf Decor Accents Rustic Farmhouse Aesthetic 5 Link Chain Knot Decor, Home Living Room, B",B09H2SBTL8,06/09/2022 15:00,1,21.99,Influencer Page,ndi,PHONE
Power & Hand Tools,"Pipe Strap,10MM Hole Strap,304 Stainless Steel Two Hole Tube U Bracket Rigid Pipe Strap Tension Clips U-Tube Clamp Connecting Ring Hose Clamp Card 20P",B07PPKWT6G,06/09/2022 12:51,6,6.99,Short Mobile link creation,ndi,PHONE
Home,"ACMEME Long Electric Lighter for Grill, ARC Flameless USB Rechargeable Windproof Cool Lighters for Candle BBQ Camping Cooking - Gold",B08L4LFRLT,06/09/2022 09:33,1,12.82,Influencer Page,ndi,PHONE
Home,"Simple&Opulence 100% Washed Linen Duvet Cover Set with Embroidered,King Size(104""x92""),3 Pieces Soft Farmhouse Comforter Set with Button Closure,1 Duv",B0126HED16,06/09/2022 07:52,1,137.99,Short Mobile link creation,di,PHONE
Home,"Deco 79 Traditional Polystone Horse Sculpture, 14"" x 4"" x 15"", Brown",B007DIDMU2,06/09/2022 07:01,1,58.99,Short Mobile link creation,di,PHONE
Kitchen & Dining,"LYNK PROFESSIONAL® Slide Out Spice Rack Pull Out Cabinet Organizer 4-1/4 inch Wide - Double, Chrome",B07NDZWMXF,06/09/2022 04:34,2,37.4,Influencer Page,ndi,DESKTOP
Home,"Deco 79 Traditional Polystone Horse Sculpture, 14"" x 4"" x 15"", Brown",B007DIDMU2,06/09/2022 04:11,1,58.99,Short Mobile link creation,di,PHONE
Home,"Deco 79 Traditional Polystone Horse Sculpture, 14"" x 4"" x 15"", Brown",B007DIDMU2,05/09/2022 21:56,1,58.99,Short Mobile link creation,di,PHONE
Home,Danjor Linens King Size Bed Sheets Set - 1800 Series 6 Piece Bedding Sheet & Pillowcases Sets w/ Deep Pockets - Fade Resistant & Machine Washable - Wh,B079SJ3M83,05/09/2022 21:29,1,18.99,Influencer Page,ndi,PHONE
Home,"Deco 79 Traditional Polystone Horse Sculpture, 9"" x 3"" x 9"", Brown",B005V0EF7S,05/09/2022 19:30,1,20.69,Short Mobile link creation,di,PHONE
Kindle Books,Love on the Brain,B09PQFL2J7,05/09/2022 18:39,1,10.99,Short Mobile link creation,ndi,PHONE
Home,"Deco 79 Traditional Polystone Horse Sculpture, 9"" x 3"" x 9"", Brown",B005V0EF7S,05/09/2022 18:03,1,20.69,Short Mobile link creation,di,PHONE
Furniture,"Stackable 3-Pack Water Bottle Holder by Eltow - Free Standing Clear Water Bottle Organizer for Kitchen Cabinet, Countertops, Fridge, Freezer, Pantry O",B0985P8XNS,05/09/2022 17:31,2,27.99,Influencer Page,ndi,PHONE
Kitchen & Dining,"ZVP Extra Large Cutting Board for Kitchen Set of 4, Plastic Chopping Boards with Knife, Easy Grip Handle, Juice Groove, BPA Free, Dishwasher Safe, Non",B096LX19DC,05/09/2022 16:24,1,24.99,Influencer Page,ndi,PHONE
Books & Textbooks,"Minimalista: Your Step-by-Step Guide to a Better Home, Wardrobe, and Life",1984859277,05/09/2022 15:46,1,21.57,Short Mobile link creation,ndi,PHONE
Office & School Supplies,"Bliss Collections Merry Little Christmas Tags, Pack of 50, Gold and Black, Holiday ’Tis The Season Events, Parties and Celebrations - Great for Season",B08HR858QF,05/09/2022 14:52,1,10.49,Influencer Page,ndi,PHONE
Office & School Supplies,"Bliss Collections Holiday Season Gift Tags, Holiday Foliage, Holly Greenery Cards for 'Tis The Season Events, Parties and Celebrations, 2""x3"" (50 Tags",B07ZQR8LXS,05/09/2022 14:52,1,10.49,Influencer Page,ndi,PHONE
Kitchen & Dining,"Electric Salt and Pepper Grinder sets, Automatic Operation Pepper and Salt Mill, Adjustable Coarseness Battery Powered Grinding Pepper (2 Pack)",B08D6D5TRP,05/09/2022 13:35,1,16.99,Influencer Page,ndi,PHONE
Kitchen & Dining,"Cozee Bay Bamboo Bag Storage Organizer for Kitchen Drawer, Baggie organizer, Compatible with Gallon, Quart, Sandwich and Snack Variety Size Bags (Blac",B09QK75511,05/09/2022 05:30,1,39.98,Short Mobile link creation,di,PHONE
Kitchen & Dining,"Salt and pepper grinder set, stainless steel manual pepper grinder, adjustable thickness, suitable for kitchen, barbecue, picnic, 2 packs",B094FXKKNL,04/09/2022 20:04,1,24.29,Influencer Page,ndi,PHONE
Home,Velidy 6 Tiers Round Macaron Tower Stand Cake Display Rack Cupcake Stand Desserts Display for Wedding Birthday Decor,B07JNF19CX,04/09/2022 18:31,1,14.99,Influencer Page,ndi,PHONE
Luxury Beauty,"Olaplex No.4 Bond Maintenance Shampoo, 8.5 Fl Oz",B07D37PQGL,04/09/2022 18:19,1,30,Influencer Page,ndi,PHONE
Luxury Beauty,"Olaplex No.5 Bond Maintenance Conditioner, 8.5 Fl Oz",B07D37SBHF,04/09/2022 18:19,1,30,Influencer Page,ndi,PHONE
Luxury Beauty,"Olaplex No 6 Bond Smoother, 3.3 Fl Oz",B07PW4MTHV,04/09/2022 18:19,1,30,Influencer Page,ndi,PHONE
Kitchen & Dining,"Cozee Bay Bamboo Bag Storage Organizer for Kitchen Drawer, Baggie organizer, Compatible with Gallon, Quart, Sandwich and Snack Variety Size Bags (Blac",B09QK75511,04/09/2022 12:56,1,39.98,Short Mobile link creation,di,PHONE
"Patio, Lawn & Garden",Knoikos Expandable Garden Hose 100ft -Expanding Water Hose with 10 Function Nozzle -Lightweight No-Kink Flexible Hose with Solid Fittings Durable 3-La,B09SCMXKL1,04/09/2022 12:45,1,32.29,Short Mobile link creation,ndi,PHONE
Electronic Components & Home Audio,"Sleek Socket 6 Outlet Surge Protector, Ultra-Thin Outlet Concealer with Cord Concealer Kit, 6-Foot Cord, Universal Size (Ideal for Home Office & Home ",B08KFX561X,04/09/2022 09:34,1,33.95,Influencer Page,ndi,PHONE
Home,"HUAXIN CRAFT H Rattan Box with Lids, Rectangular Woven Case with Glass for Display, Set of 2 Wicker Storage Decoration",B09YLSN55R,04/09/2022 09:34,1,79.99,Influencer Page,ndi,PHONE
"Patio, Lawn & Garden",5 Pack Palm Artificial Plants Leaves Decorations Faux Large Tropical Palm Leaves Imitation Ferns Artificial Plants Leaf for Home Kitchen Party Flowers,B0795DB85L,04/09/2022 08:27,1,15.99,Influencer Page,ndi,PHONE
Grocery & Gourmet Food,"Amazon Brand - Happy Belly Tellicherry Black Pepper, Whole Peppercorn, 16 Ounces",B07QW1GH8Q,04/09/2022 06:10,1,9.99,Influencer Page,ndi,PHONE
Kitchen & Dining,"Cozee Bay Bamboo Bag Storage Organizer for Kitchen Drawer, Baggie organizer, Compatible with Gallon, Quart, Sandwich and Snack Variety Size Bags (Blac",B09QK75511,03/09/2022 20:59,1,39.98,Influencer Page,ndi,PHONE
Cell Phones & Accessories,HATALKIN 3 in 1 Wireless Charging Station Compatible for Apple Products Multiple Devices Apple Watch 7 SE 6 5 4 3 AirPods 3 / Pro/2 iPhone 13 12 11 Pr,B095NJXC1F,03/09/2022 20:59,1,38.3,Influencer Page,ndi,PHONE
Clothing & Accessories,Fixmatti Women Summer Outfits Casual Two Piece Shorts Set Button Cardigan Shirt Elastic Waist Shorts Tracksuit Orange M,B09T6QJWKS,03/09/2022 20:04,1,33.99,Short Mobile link creation,ndi,PHONE
Beauty & Grooming,"BFAHE Ice Roller for Face Eye Puffiness Relief, Cold Gelice Face Roller Massager Pain Relief Cold Therapy Skin Tighten Ice Roller for Relieving Wrinkl",B09BZCDZ7F,03/09/2022 20:04,1,6.99,Short Mobile link creation,ndi,PHONE
Health & Household,"Scotch-Brite 50% Stickier Large Surface Roller Refill, Works Great On Pet Hair, 4 Refills, 60 Sheets Per Refill, 240 Sheets Total",B07XVW9ZMK,03/09/2022 18:20,1,23.99,Influencer Page,ndi,PHONE
Clothing & Accessories,"Zutano Cozie Fleece Baby Booties with Grippers, Khaki, 12 Months",B07HHGH8PX,03/09/2022 18:08,1,23,Short Mobile link creation,ndi,PHONE
"Shoes, Handbags, Wallets, Sunglasses",Baby Slippers Boys Girls Sneaker Soft Anti-Slip Sole Newborn Infant First Walkers Shoes Socks Shoes,B09FZ33TC6,03/09/2022 18:08,1,17.99,Short Mobile link creation,ndi,PHONE
